,Tree,Lanzinger-Barcelo,PACT
0,0,0.09082872867584228,0.21035444736480713
1,1,0.08505163192749024,0.21635360717773439
2,2,0.08516891002655029,0.20121095180511475
3,3,0.07121002674102783,0.20651493072509766
4,4,0.07066035270690918,0.21244587898254394
5,5,0.06707932949066162,0.21499347686767578
6,6,0.08797297477722169,0.20764620304107667
7,7,0.0923020601272583,0.21239314079284669
8,8,0.0842543363571167,0.20941991806030275
9,9,0.08507492542266845,0.21412832736968995
10,10,0.08085086345672607,0.21705431938171388
11,11,0.034448432922363284,0.19766685962677003
12,12,0.05357506275177002,0.19790256023406982
13,13,0.04932770729064941,0.21794700622558594
14,14,0.0446000337600708,0.21246941089630128
15,15,0.06859989166259765,0.21133847236633302
16,16,0.06901330947875976,0.19280471801757812
17,17,0.06586143970489503,0.2052905797958374
18,18,0.06192183494567871,0.21085762977600098
19,19,0.08732407093048096,0.21174190044403077
20,20,0.08334512710571289,0.2102269411087036
21,21,0.07727913856506348,0.20192427635192872
22,22,0.09169509410858154,0.21037828922271729
